"course","code","degree"
"Accountancy L8 Yr 2 Sem 3","G-BACCG82","BB"
"Accountancy L8 Yr 2 Sem 4","G-BACCG82","BB"
"Accountancy L8 Yr 3 Sem 5","G-BACCG83","BB"
"Accountancy L8 Yr 3 Sem 6","G-BACCG83","BB"
"Diploma in Accounting L9 Yr 5 Sem 09","G-BACCG95","Post Graduate"
"Diploma in Accounting L9 Yr 5 Sem 10","G-BACCG95","Post Graduate"
"Admin & Info Systems L7 Yr 3 Sem 5","G-BADIG73","BB"
"Admin & Info Systems L7 Yr 3 Sem 6","G-BADIG73","BB"
"IN Entrepreneurship L7 Yr 1 Sem 1","G-BBENG71","BB"
"Entrepreneurship L7 Yr 1 Sem 2","G-BBENG71","BB"
" Entrepreneurship L7 Yr 2 Sem 3","G-BBENG72","Bachelor of Business"
"Entrepreneurship L7 Yr 2 Sem 4","G-BBENG72","Bachelor of Business"
"(Honours) in Entrepreneurship L8 Yr 1 Sem 1","G-BBENG81","Bachelor of Business"
"(Honours) in Entrepreneurship L8 Yr 1 Sem 2","G-BBENG81","Bachelor of Business"
"(Honours) in Entrepreneurship L8 Yr 2 Sem 3","G-BBENG82","Bachelor of Business"
"(Honours) in Entrepreneurship L8 Yr 2 Sem 4","G-BBENG82","Bachelor of Business"
"Business Information Systems L7 Yr 1 Sem 1","G-BBISG71","BSc"
"Business Information Systems
 L7 Yr 1 Sem 2","G-BBISG71","BSc"
"Business Information Systems L7 Yr 2 Sem 3","G-BBISG72","BSc"
"Business Information Systems L7 Yr 2 Sem 4","G-BBISG72","BSc"
"(Hons) in Business Information Systems
 L8 Yr 1 Sem 1","G-BBISG81","BSc"
"(Hons) in Business Information Systems
 L8 Yr 1 Sem 2","G-BBISG81","BSc"
"(Hons) in Business Information Systems
 L8 Yr 2 Sem 3","G-BBISG82","BSc"
"(Hons) in Business Information Systems
 L8 Yr 2 Sem 4","G-BBISG82","BSc"
"Business L8 Yr 1 Sem 1","G-BBUAG81","BB"
"Business L8 Yr 1 Sem 2","G-BBUAG81","BB"
"Business L8 Yr 2 Sem 3","G-BBUAG82","BB"
"Business L8 Yr 2 Sem 4","G-BBUAG82","BB"
"Business in Human Resources Management L8 Yr 3 Sem 5","G-BBUAG83","BB"
"Business in Human Resources Management L8 Yr 3 Sem 6","G-BBUAG83","BB"
"Business in Information Technology L8 Yr 3 Sem 5","G-BBUAG83","BB"
"Business in Information Technology L8 Yr 3 Sem 6","G-BBUAG83","BB"
"Business in Marketing L8 Yr 3 Sem 5","G-BBUAG83","BB"
"Business in Marketing L8 Yr 3 Sem 6","G-BBUAG83","BB"
"L7 Yr 1 Sem 2","G-BBUSG71","Bachelor of Business"
"Business L7 Yr 1 Sem 1","G-BBUSG71","BB"
"L7 & BBUAG82 BB in Business L8 Yr 2 Sem 4","G-BBUSG72","Bachelor of Business"
"L7 Yr 2 Sem 3","G-BBUSG72","Bachelor of Business"
"Human Resources Management L7 Yr 3 Sem 5","G-BBUSG73","Bachelor of Business"
"Human Resources Management L7 Yr 3 Sem 6","G-BBUSG73","Bachelor of Business"
"Information Technology L7 Yr 3 Sem 5","G-BBUSG73","Bachelor of Business"
"Information Technology L7 Yr 3 Sem 6","G-BBUSG73","Bachelor of Business"
"Marketing L7 Yr 3 Sem 5","G-BBUSG73","Bachelor of Business"
"Marketing L7 Yr 3 Sem 6","G-BBUSG73","Bachelor of Business"
"Economics & Finance L8 Yr 4 Sem 7","G-BBUSG84","Bachelor of Business"
"HRM L8 Yr 4 Sem 7","G-BBUSG84","Bachelor of Business"
"Management L8 Yr 4 Sem 7","G-BBUSG84","Bachelor of Business"
"Marketing  L8 Yr 4 Sem 7","G-BBUSG84","Bachelor of Business"
"Rural Enterprise L8 Yr 4 Sem 7","G-BBUSG84","Bachelor of Business"
"Economics & Finance L8 Yr 4 Sem 8","G-BBUSS84","Bachelor of Business"
"HRM L8 Yr 4 Sem 8","G-BBUSS84","Bachelor of Business"
"Marketing L8 Yr 4 Sem 8","G-BBUSS84","Bachelor of Business"
"Mgmt L8 Yr 4 Sem 8","G-BBUSS84","Bachelor of Business"
"Rural Enterprise L8 Yr 4 Sem 8","G-BBUSS84","Bachelor of Business"
"Finance and Economics Yr 1 Sem 1","G-BFING71","Bachelor of Business"
"Finance and Economics Yr 1 Sem 1","G-BFING71","Bachelor of Business"
"Finance and Economics Yr 2 Sem 3","G-BFING72","Bachelor of Business"
"Finance and Economics Yr 2 Sem 4","G-BFING72","Bachelor of Business"
"(Honours) in Finance and Economics L8 Yr 1 Sem 1","G-BFING81","Bachelor of Business"
"(Honours) in Finance and Economics L8 Yr 1 Sem 1","G-BFING81","Bachelor of Business"
"(Honours) in Finance and Economics L8 Yr 2 Sem 3","G-BFING82","Bachelor of Business"
"(Honours) in Finance and Economics L8 Yr 2 Sem 4","G-BFING82","Bachelor of Business"
"Info Systems Mgmt L8 Yr 3 Sem 5","G-BINAG83","BA"
"Info Systems Mgmt L8 Yr 3 Sem 6","G-BINAG83","BA"
"Information Systems Mgmt L8 Yr 4 Sem 7","G-BINSG84","BA"
"Information Systems Mgmt L8 Yr 4 Sem 8","G-BINSG84","BA"
"Marketing L7 Yr 1 Sem 1","G-BMASG71","Bachelor of Business"
"Marketing L7 Yr 1 Sem 1","G-BMASG71","Bachelor of Business"
"Marketing L7 Yr 2 Sem 3","G-BMASG72","Bachelor of Business"
"Marketing L7 Yr 2 Sem 4","G-BMASG72","Bachelor of Business"
"(Honours) in Marketing L8 Yr 1 Sem 1","G-BMASG81","Bachelor of Business"
"(Honours) in Marketing L8 Yr 1 Sem 1","G-BMASG81","Bachelor of Business"
"(Honours) in Marketing L8 Yr 2 Sem 3","G-BMASG82","Bachelor of Business"
"(Honours) in Marketing L8 Yr 2 Sem 4","G-BMASG82","Bachelor of Business"
"Rural Enterprise & Agri-Business L7 Yr 1 Sem 1","G-BRUAG71","BB"
"Rural Enterprise & Agri-Business L7 Yr 1 Sem 2","G-BRUAG71","BB"
"Rural Enterprise & Agri-Business L7 Yr 2 Sem 3","G-BRUAG72","BB"
"Rural Enterprise & Agri-Business L7 Yr 2 Sem 4","G-BRUAG72","BB"
"Rural Enterprise & Agri-Business L7 Yr 3 Sem 5","G-BRUAG73","BB"
"Rural Enterprise & Agri-Business L7 Yr 3 Sem 6","G-BRUAG73","BB"
"Electrical Installation 4A","G-CELEC1-4A","National Advanced Craft Certificate"
"Electrical Installation 4B","G-CELEC1-4B","National Advanced Craft Certificate"
"Electrical Installation 6A","G-CELEC2-6A","National Advanced Craft Certificate"
"Electrical Installation 6B","G-CELEC2-6B","National Advanced Craft Certificate"
"Contemporary Art
 L7 Yr 1 Sem 1 Gr D","G-DDESG71","BA"
"Contemporary Art
 L7 Yr 1 Sem 2 Gr D","G-DDESG71","BA"
"Contemporary Art
 L7 Yr 1 Sem 1 Gr E","G-DDESG71","BA"
"Contemporary Art
 L7 Yr 1 Sem 2 Gr E","G-DDESG71","BA"
"Contemporary Art
 L7 Yr 1 Sem 1 Gr F","G-DDESG71","BA"
"Contemporary Art
 L7 Yr 1 Sem 2 Gr F","G-DDESG71","BA"
"Contemporary Art
 L7 Yr 2 Sem 4","G-DDESG72","BA"
"Contemporary Art
 L7 Yr 2 Sem 3 Gr C","G-DDESG72","BA"
"Contemporary Art
 L7 Yr 2 Sem 3 Gr D","G-DDESG72","BA"
"Honours in Design in Textiles L8 Yr 4","G-DTEXT84","BA"
"Architectural Technology  Yr 1 Sem 1","G-EARAG1","Unknown"
"Architectural Technology  Yr 1 Sem 2","G-EARAG1","Unknown"
"Architectural Technology  Yr 2","G-EARAG2","Unknown"
"Architectural Technology  Yr 3","G-EARAG3","Unknown"
"(Hons) in Architectural Technology L8 Yr 4","G-EARAG84","BSc"
"Engineering in Building Information Modelling L8 Yr 1","G-EBIMG81","Higher Diploma"
"Quantity Surveying and Construction Economics Yr 2 Sem 3","G-ECEAG2","BSc"
"Quantity Surveying and Construction Economics Yr 2 Sem 4","G-ECEAG2","BSc"
"Construction Economics & Quantity Surveying Yr 3 Sem  6","G-ECEAG3","Unknown"
"Construction Economics & Quantity Surveying Yr 3 Sem 5","G-ECEAG3","Unknown"
"(Hons) in Construction Economics & Quantity Surveying L8 Yr 4","G-ECEAG84","BSc"
"Quantity Surveying and Construction Economics Yr 1","G-ECEQG1","BSc"
"Civil Engineering Yr 1 Sem 1","G-ECIAG1","Unknown"
"Civil Engineering Yr 1 Sem 2","G-ECIAG1","Unknown"
"Civil Engineering Yr 2","G-ECIAG2","Unknown"
"Civil Engineering Yr 3 Sem 5","G-ECIAG3","Unknown"
"Civil Engineering Yr 3 Sem 6","G-ECIAG3","Unknown"
"Civil Engineering L8 Yr 4","G-ECIVG84","BEng"
"Computer & Electronic Eng L8 Yr 4","G-ECOEG84","BEng"
"Computer & Electronic Eng L8 Yr 5 Sem 10","G-ECOEG85","BEng"
"Computer & Electronic Eng L8 Yr 5 Sem 9","G-ECOEG85","BEng"
"Computer & Electronic Eng Gr A L7 Yr 1 Sem 1","G-ECOLG71-A","BEng"
"Computer & Electronic Eng Gr A L7 Yr 1 Sem 2","G-ECOLG71-A","BEng"
"Computer & Electronic Eng Gr B L7 Yr 1 Sem 1","G-ECOLG71-B","BEng"
"Computer & Electronic Eng Gr B L7 Yr 1 Sem 2","G-ECOLG71-B2","BEng"
"Computer & Electronic Eng Gr C L7 Yr 1 Sem 1","G-ECOLG71-C","BEng"
"Computer & Electronic Eng Gr C L7 Yr 1 Sem 2","G-ECOLG71-C","BEng"
"Computer & Electronic Eng Gr A L7 Yr 2 Sem 3","G-ECOLG72-A","BEng"
"Computer & Electronic Eng Gr A L7 Yr 2 Sem 4","G-ECOLG72-A","BEng"
"Computer & Electronic Eng Gr B L7 Yr 2 Sem 3","G-ECOLG72-B","BEng"
"Computer & Electronic Eng Gr B L7 Yr 2 Sem 4","G-ECOLG72-B","BEng"
"Computer & Electronic Eng Gr C L7 Yr 2 Sem 3","G-ECOLG72-C","BEng"
"Computer & Electronic Eng Gr C L7 Yr 2 Sem 4","G-ECOLG72-C","BEng"
"Computer & Electronic Eng Gr A L7 Yr 3 Sem 5","G-ECOLG73-A","BEng"
"Computer & Electronic Eng Gr A L7 Yr 3 Sem 6","G-ECOLG73-A","BEng"
"Computer & Electronic Eng Gr B L7 Yr 3 Sem 5","G-ECOLG73-B","BEng"
"Computer & Electronic Eng Gr B L7 Yr 3 Sem 6","G-ECOLG73-B","BEng"
"Construction Mgmt Yr 1","G-ECOMG1","Unknown"
"Construction Mgmt Yr 2","G-ECOMG2","Unknown"
"Construction Mgmt Yr 3 Sem 5","G-ECOMG3","Unknown"
"Construction Mgmt Yr 4","G-ECOMG4","Unknown"
"Energy Eng Gr F Yr 1 Sem 1","G-EENEG1-F","BEng"
"Energy Eng Gr H Yr 1 Sem 1","G-EENEG1-H","BEng"
"Energy Eng Yr 2 Sem 3","G-EENEG2","BEng"
"Energy Eng Yr 3 Sem 5","G-EENEG3","BEng"
"Energy Eng Gr F L7 Yr 1 Sem 2","G-EENEG71-A","BEng"
"Energy Eng Gr H L7 Yr 1 Sem 2","G-EENEG71-B","BEng"
"Energy Eng Gr A L7 Yr 2 Sem 4","G-EENEG72-A","BEng"
"Energy Eng Gr A L7 Yr 3 Sem 6","G-EENEG73-A","BEng"
"Energy Eng L8 Yr 4 Sem 7","G-EENEG84","BEng"
"Energy Eng L8 Yr 4 Sem 8","G-EENEG84","BEng"
"Industrial Automation L7 Yr 1","G-EINAG71","SPA Certificate"
"Industrial Automation L7 Yr 2","G-EINAG72","SPA Certificate"
"IT Networking L7 Yr 1 Sem 1","G-EITNG71","Certificate"
"IT Networking L7 Yr 1 Sem 1","G-EITNG71","Certificate"
"IT Networking L7 Yr 2 Sem 3","G-EITNG72","Certificate"
"IT Networking L7 Yr 2 Sem 3","G-EITNG72","Certificate"
"Mechanical Eng Gr A Yr 1 Sem 1","G-EMECG1-A","BEng"
"Mechanical Eng Gr B Yr 1 Sem 1","G-EMECG1-B","BEng"
"Mechanical Eng Gr C Yr 1 Sem 1","G-EMECG1-C","BEng"
"Mechanical Eng Gr D Yr 1 Sem 1","G-EMECG1-D","BEng"
"Mechanical Eng Gr E Yr 1 Sem 1","G-EMECG1-E","BEng"
"Mechanical Eng Gr F Yr 1 Sem 1","G-EMECG1-F","BEng"
"Mechanical Eng Gr A Yr 3 Sem 5","G-EMECG3-A","BEng"
"Mechanical Eng Gr B Yr 3 Sem 5","G-EMECG3-B","BEng"
"Mechanical Eng Gr C Yr 3 Sem 5","G-EMECG3-C","BEng"
"Mechanical Eng Gr A L7 Yr 1 Sem 2","G-EMECG71-A","BEng"
"Mechanical Eng Gr B L7 Yr 1 Sem 2","G-EMECG71-B","BEng"
"Mechanical Eng Gr C L7 Yr 1 Sem 2","G-EMECG71-C","BEng"
"Mechanical Eng Gr D L7 Yr 1 Sem 2","G-EMECG71-D","BEng"
"Mechanical Eng Gr E L7 Yr 1 Sem 2","G-EMECG71-E","BEng"
"Mechanical Eng Gr A L7 Yr 2 Sem 3","G-EMECG72-A","BEng"
"Mechanical Eng Gr A L7 Yr 2 Sem 4","G-EMECG72-A","BEng"
"Mechanical Eng Gr B L7 Yr 2 Sem 3","G-EMECG72-B","BEng"
"Mechanical Eng Gr B L7 Yr 2 Sem 4","G-EMECG72-B","BEng"
"Mechanical Eng Gr C L7 Yr 2 Sem 3","G-EMECG72-C","BEng"
"Mechanical Eng Gr C L7 Yr 2 Sem 4","G-EMECG72-C","BEng"
"Mechanical Eng Gr D L7 Yr 2 Sem 3","G-EMECG72-D","BEng"
"Mechanical Eng Gr D L7 Yr 2 Sem 4","G-EMECG72-D","BEng"
"Mechanical Eng Gr A L7 Yr 3 Sem 6","G-EMECG73-A","BEng"
"Mechanical Eng Gr B L7 Yr 3 Sem 6","G-EMECG73-B","BEng"
"Mechanical Eng Gr C L7 Yr 3 Sem 6","G-EMECG73-C","BEng"
"Mechanical Eng L8 Yr 4 Sem 7","G-EMECG84","BEng"
"Mechanical Eng L8 Yr 4 Sem 8","G-EMECG84","BEng"
"Motor Engineering Phase 6","G-EMOME6","NCC"
"Construction Economics and QS L7 Yr 1","G-EQSCG71","BSc"
"Electrical Services & Automation Eng L7 Yr 1","G-ESAEG71","BEng"
"Electrical Services & Automation Eng L7 Yr 2 Sem 3","G-ESAEG72","BEng"
"Electrical Services & Automation Eng L7 Yr 2 Sem 4","G-ESAEG72","BEng"
"Electrical Services & Automation Eng L7 Yr 3 Sem 5","G-ESAEG73","BEng"
"Electrical Services & Automation Eng L7 Yr 3 Sem 6","G-ESAEG73","BEng"
"Culinary Arts - Springboard L6 Yr 1 Sem 1","G-FCULI61","Certificate"
"Culinary Arts - Springboard L6 Yr 1 Sem 2","G-FCULI61","Certificate"
"Professional Cookery Traineeship L6 Yr 2","G-FPCTG62","Advanced Certicate"
"Total Immersion Chefs Programme L6 Yr 1 Sem 1","G-FTICG61","Unknown"
"Total Immersion Chefs Programme L6 Yr 1 Sem 2","G-FTICG61","Unknown"
"(Honours) in Film & Documentary L8 Yr 1 Sem 1","G-HFILG81","BA"
"(Honours) in Film & Documentary L8 Yr 1 Sem 2","G-HFILG81A","BA"
"(Honours) in Film & Documentary L8 Yr 1 Sem 2","G-HFILG81B","BA"
"(Honours) in Film & Documentary L8 Yr 1 Sem 2","G-HFILG81C","BA"
"(Honours) in Film & Documentary L8 Yr 2 Sem 3","G-HFILG82","BA"
"(Honours) in Film & Documentary L8 Yr 2 Sem 4 Gr A","G-HFILG82","BA"
"(Honours) in Film & Documentary L8 Yr 2 Sem 4 Gr B","G-HFILG82","BA"
"(Honours) in Film & Documentary L8 Yr 2 Sem 4 Gr C","G-HFILG82","BA"
"(Honours) in Film & Documentary L8 Yr 3 Sem 5","G-HFILG83","BA"
"Film & TV L8 Yr 3 Sem 6 Gr A","G-HFITG83","BA"
"Film & TV L8 Yr 3 Sem 6 Gr B","G-HFITG83","BA"
"Film & TV L8 Yr 3 Sem 6 Gr C","G-HFITG83","BA"
"Film & TV L8 Yr 3 Sem 6 Gr D","G-HFITG83","BA"
"Heritage Studies L7 Yr 1 Sem 1","G-HHERG71","BA"
"Heritage Studies L7 Yr 1 Sem 2","G-HHERG71","BA"
"Heritage Studies L7 Yr 2 Sem 3","G-HHERG72","BA"
"Heritage Studies L7 Yr 2 Sem 4","G-HHERG72","BA"
"Heritage Studies L7 Yr 3 Sem 5","G-HHERG73","BA"
"Heritage Studies L7 Yr 3 Sem 6","G-HHERG73","BA"
"Heritage Studies L8 Yr 1 Sem 1","G-HHERG81","BA"
"Heritage Studies L8 Yr 1 Sem 2","G-HHERG81","BA"
"Heritage Studies L8 Yr 2 Sem 3","G-HHERG82","BA"
"Heritage Studies L8 Yr 2 Sem 4","G-HHERG82","BA"
"Heritage Studies L8 Yr 3 Sem 5","G-HHERG83","BA"
"Heritage Studies L8 Yr 3 Sem 6","G-HHERG83","BA"
"Heritage Studies L8 Yr 4 Sem 7","G-HHERG84","BA"
"Heritage Studies L8 Yr 4 Sem 8","G-HHERG84","BA"
"Religious Studies L7 Yr 2 Sem3","G-HRELG72","BA"
"Religious Studies L7 Yr 2 Sem4","G-HRELG72","BA"
"Business Computing & Digital Media L7 Yr 2 Sem 3","G-KBDIG72","BSc"
"Business Computing & Digital Media L7 Yr 2 Sem 4","G-KBDIG72","BSc"
"Business Computing & Digital Media L7 Yr 3 Sem 5","G-KBDIG73","BSc"
"Business Computing & Digital Media L7 Yr 3 Sem 6","G-KBDIG73","BSc"
"Business Computing & Digital Media L7 Yr 1 Sem 1","G-KCDMG71","BSc"
"Business Computing & Digital Media L7 Yr 1 Sem 2","G-KCDMG71","BSc"
"Business Computing & Digital Media L8 Yr 1 Sem 1","G-KCDMG81","BSc"
"Business Computing & Digital Media L8 Yr 1 Sem 2","G-KCDMG81","BSc"
"Computing and Digital Media
 L8 Yr 4 Sem 7","G-KCDMG84","BSc"
"Computing and Digital Media
 L8 Yr 4 Sem 8","G-KCDMG84","BSc"
"Information Technology for Business L8 Yr 4 Sem 7","G-KITAG84","BSc"
"Information Technology for Business L8 Yr 4 Sem 8","G-KITAG84","BSc"
"(HONOURS) in Computing in Software Development L8 Yr 1 Sem","G-KSOAG81","BSc"
"(HONOURS) in Computing in Software Development L8 Yr 1 Sem 2","G-KSOAG81","BSc"
"(HONOURS) in Computing in Software Development L8 Yr 2 Sem 3","G-KSOAG82","BSc"
"(HONOURS) in Computing in Software Development L8 Yr 2 Sem 4","G-KSOAG82","BSc"
"Computing in Software Development Yr 1 Sem 2","G-KSOFG1","BSc"
"Computing in Software Development L7 Yr 1 Sem 1","G-KSOFG71","BSc"
"Software Development L7 Yr 2 Sem 3","G-KSOFG72","BSc"
"Software Development L7 Yr 2 Sem 4","G-KSOFG72","BSc"
"Computing in Software Development L7 Yr 3 Sem 5","G-KSOFG73","BSc"
"Computing in Software Development L7 Yr 3 Sem 6","G-KSOFG73","BSc"
"Software Development L8 Yr 4 Sem 7","G-KSOFGH84","BSc"
"Software Development L8 Yr 4 Sem 8","G-KSOFGH84","BSc"
"Science Software Development L8 Yr 4  Jan-May2017","G-KSOFGL84","HDip"
"Science Software Development L8 Yr 4 Sept-Dec2017","G-KSOFGL84","HDip"
"Computing in Software Development
 L6 Yr 2 Sem 3","G-KSOFN62","BSc"
"Computing in Software Development
 L6 Yr 2 Sem 4","G-KSOFN62","BSc"
"Web Technologies and Programming L7 Yr 1 Jan-May Sem 1","G-KWEBG71","BSc"
"Web Technologies and Programming L7 Yr 1 Sept-Dec Sem 2","G-KWEBG71","BSc"
"(Ordinary) Bar & Restaurant Management
 L7 Yr 3 Sem 6","G-OBRMG73","BBs"
"Arts in Culinary Arts - Professional Chef Programme 
L6 Yr 1 Sem 1","G-OCPCG61","HC"
"Arts in Culinary Arts - Professional Chef Programme 
L6 Yr 1 Sem 2","G-OCPCG61","HC"
"Arts in Culinary Arts - Professional Chef Programme 
L6 Yr 2 Sem 3","G-OCPCG62","HC"
"Arts in Culinary Arts - Professional Chef Programme 
L6 Yr 2 Sem 4","G-OCPCG62","HC"
"Culinary Arts L7 Yr 1 Sem 1","G-OCULG71","BB"
"Culinary Arts L7 Yr 1 Sem 2","G-OCULG71","BB"
"Culinary Arts L7 Yr 2 Sem 3","G-OCULG72","BB"
"Culinary Arts L7 Yr 2 Sem 4","G-OCULG72","BB"
"Culinary Arts L7 Yr 3 Sem 6","G-OCULG73","BB"
"Culinary Arts L8 Yr 4 Sem 7","G-OCULG84","BB"
"Culinary Arts L8 Yr 4 Sem 8","G-OCULG84","BB"
"Culinary Arts L7 Yr 1 Sem 1","G-OCUPG71","BA"
"Culinary Arts L7 Yr 1 Sem 2","G-OCUPG71","BA"
"Culinary Arts L7 Yr 2 Sem 3","G-OCUPG72","BA"
"Culinary Arts L7 Yr 2 Sem 4","G-OCUPG72","BA"
"Culinary Arts L7 Yr 3 Sem 5","G-OCUPG73","BA"
"Culinary Arts L7 Yr 3 Sem 6","G-OCUPG73","BA"
"Event Mgmt (with Public Relations) L7 Yr 1 Sem 2","G-OEVEG71","BB"
"Event Mgmt (with Public Relations) L7 Yr 2 Sem 3","G-OEVEG72","BB"
"Event Mgmt (with Public Relations) L7 Yr 2 Sem 4","G-OEVEG72","BB"
"Event Mgmt (with Public Relations) L7 Yr 3 Sem 5","G-OEVEG73","BB"
"Event Mgmt (with Public Relations) L7 Yr 3 Sem 6","G-OEVEG73","BB"
"Event Mgmt (with Public Relations) L7 Yr 1 Sem 1","G-OEVEN71","BB"
"Hotel and Catering Mgmt L7 Yr 1 Sem 1","G-OHCAG71","BB"
"Hotel and Catering Mgmt L7 Yr 1 Sem 2","G-OHCAG71","BB"
"Hotel and Catering Mgmt L7 Yr 2 Sem 3","G-OHCAG72","BB"
"Hotel and Catering Mgmt L7 Yr 2 Sem 4","G-OHCAG72","BB"
"Hotel and Catering Mgmt L7 Yr 3 Sem 5","G-OHCAG73","BB"
"Hotel and Catering Mgmt L7 Yr 3 Sem 6","G-OHCAG73","BB"
"Hotel and Catering Management L8 Yr 1 Sem 1","G-OHCAG81","BA"
"Hotel and Catering Management L8 Yr 1 Sem 2","G-OHCAG81","BA"
"Hotel and Catering Mgmt L8 Yr 2 Sem 3","G-OHCAG82","BA"
"Hotel and Catering Mgmt L8 Yr 2 Sem 4","G-OHCAG82","BA"
"Hotel and Catering Mgmt L8 Yr 3 Sem 6","G-OHCAG83","BA"
"Hotel and Catering Mgmt L8 Yr 4 Sem 7","G-OHCAG84","BA"
"Hotel and Catering Mgmt L8 Yr 4 Sem 8","G-OHCAG84","BA"
"Arts in Hotel and Hospitality Studies L6 Yr 2 Sem 3","G-OHOPG62","HC"
"Arts in Hotel and Hospitality Studies L6 Yr 2 Sem 4","G-OHOPG62","HC"
"Arts in Hotel and Hospitality Studies L6 Yr 1 Sem 1","G-OHOSG61","HC"
"Arts in Hotel and Hospitality Studies L6 Yr 1 Sem 2","G-OHOSG61","HC"
"Retail Mgmt L7 Yr 1 Sem 1","G-OREMG71","BB"
"Retail Mgmt L7 Yr 1 Sem 2","G-OREMG71","BB"
"Retail Mgmt L7 Yr 2 Sem 3","G-OREMG72","BB"
"Retail Mgmt L7 Yr 2 Sem 4","G-OREMG72","BB"
"Retail & Customer Service Mgmt L7 Yr 3 Sem 6","G-ORETG73","BB"
"Business in Tourism L6 Yr 1 Sem 1","G-OTOUG61","HC"
"Business in Tourism L6 Yr 2 Sem 3","G-OTOUG62","HC"
"Business in Tourism L6 Yr 2 Sem 4","G-OTOUG62","HC"
"Tourism Mgmt L7 Yr 1 Sem 1","G-OTOUG71","BB"
"Tourism Mgmt L7 Yr 1 Sem 2","G-OTOUG71","BB"
"Tourism Mgmt L7 Yr 2 Sem 3","G-OTOUG72","BB"
"Tourism Mgmt L7 Yr 2 Sem 4","G-OTOUG72","BB"
"Tourism Mgmt L7 Yr 3 Sem 5","G-OTOUG73","BB"
"Tourism Mgmt L7 Yr 3 Sem 6","G-OTOUG73","BB"
"Applied Biology & Biopharmaceutical Sci L7&8 Yr 2 Sem 3","G-SABBG2","BSc"
"Applied Biology & Biopharmaceutical Sci L7&8 Yr 2 Sem 4","G-SABBG2","BSc"
"Applied Biology & Biopharmaceutical Sci L7&8 Yr 3 Sem 5","G-SABBG3","BSc"
"Applied Biology & Biopharmaceutical Sci L7&8 Yr 3 Sem 6","G-SABBG3","BSc"
"Applied Biology & Biopharmaceutical Sci L8 Yr 4 Sem 7","G-SABBG84","BSc"
"Applied Biology & Biopharmaceutical Sci L8 Yr 4 Sem 8","G-SABBG84","BSc"
"Applied Freshwater & Marine Biology Yr 2 Sem 3","G-SAFMG2","BSc"
"Applied Freshwater & Marine Biology Yr 3 Sem 5","G-SAFMG3","BSc"
"Applied Freshwater & Marine Biology L7 Yr 2 Sem 4","G-SAFMG72","BSc"
"Applied Freshwater & Marine Biology L7 Yr 3 Sem 6","G-SAFMG73","BSc"
"Applied Freshwater & Marine Biology L8 Yr 2 Sem 3","G-SAFMG82","BSc"
"Applied Freshwater & Marine Biology L8 Yr 2 Sem 4","G-SAFMG82","BSc"
"(Hons) in Applied Freshwater & Marine Biology L8 Yr 3 Sem 5","G-SAFMG83","BSc"
"Applied Freshwater & Marine Biology L8 Yr 3 Sem 6","G-SAFMG83","BSc"
"Applied Freshwater & Marine Biology L8 Yr 4 Sem 7","G-SAFMG84","BSc"
"Applied Freshwater & Marine Biology L8 Yr 4 Sem 8","G-SAFMG84","BSc"
