"id","room","capacity","campus"
"215","G0637 Unit 10","16","Galway"
"216","G0701 Physics Lab","18","Galway"
"217","G0702 Physics Lab","18","Galway"
"218","G0703 Physics Lab","8","Galway"
"219","G0704 Physics Lab","8","Galway"
"220","G0707 CAD/CAM Lab","24","Galway"
"221","G0724b W/S","20","Galway"
"222","G0724C W/S CNC/Pen Factory","50","Galway"
"223","G0724d Energy Fluid Lab","50","Galway"
"224","G0728a Garage","24","Galway"
"225","G0731 Wiring and Motor Control Installation Workshop","16","Galway"
"226","G0736 Electrical and Electronic Projects Lab","16","Galway"
"227","G0813 Computer Lab/PBL","20","Galway"
"228","G0827 Electronics Lab","20","Galway"
"229","G0828 Electronics Lab","20","Galway"
"230","G0830 Electronics Lab","20","Galway"
"231","G0832 Electronics Lab","20","Galway"
"232","G0834 Computer Lab/PBL","23","Galway"
"233","G0835 Info Technology Computer Lab","20","Galway"
"234","G0837","81","Galway"
"235","G0841 Wine Geese Training Bar","100","Galway"
"236","G0842 Connemara Upstairs Training Rest","50","Galway"
"237","G0843 Unit 12","16","Galway"
"238","G0903","250","Galway"
"239","G0907 Language Lab","20","Galway"
"240","G0910 Language Lab","20","Galway"
"241","G0938","60","Galway"
"242","G0939","90","Galway"
"243","G0940","90","Galway"
"244","G0941","150","Galway"
"245","G0994","150","Galway"
"246","G0995","90","Galway"
"247","G0996","90","Galway"
"248","G0997","60","Galway"
"249","G1000 Blue Theatre","288","Galway"
"250","G1031","34","Galway"
"251","G1032","34","Galway"
"252","G1033","34","Galway"
"253","G1034","34","Galway"
"254","G1035","34","Galway"
"255","G1036","30","Galway"
"256","G1039","60","Galway"
"257","G1041 Video Conference Room","60","Galway"
"258","LETT Computer Lab 1","50","Letterfrack"
"259","LETT Computer Lab 2","50","Letterfrack"
"260","LETT Design Studio 1","50","Letterfrack"
"261","LETT Design Studio 2","50","Letterfrack"
"262","LETT Design Studio 3","50","Letterfrack"
"263","LETT Lecture Theatre 1","50","Letterfrack"
"264","LETT Lecture Theatre 2","50","Letterfrack"
"265","LETT Lecture Theatre 3","50","Letterfrack"
"266","LETT Lecture Theatre 4","50","Letterfrack"
"267","LETT Lecture Theatre 5","50","Letterfrack"
"268","LETT Machine Hall 1A","50","Letterfrack"
"269","LETT Machine Hall 1B","50","Letterfrack"
"270","LETT Machine Hall 2","50","Letterfrack"
"271","Letterfrack Bench Room 1","50","Lett"
"272","Letterfrack Bench Room 2","50","Lett"
"273","MayoCL-B117-Unix","25","Mayo"
"274","MayoCL-B208-cl4","25","Mayo"
"275","MayoCL-Net","28","Mayo"
"276","MayoCL-R202-CAD","25","Mayo"
"277","MayoCL-Y100-cl6","25","Mayo"
"278","MayoCL-Y103-cl5","25","Mayo"
"279","MayoCL-Y200-cl2","25","Mayo"
"280","MayoCL-Y201-cl1","25","Mayo"
"281","MayoLab-B017-CH","40","Mayo"
"282","MayoLab-G102-Digmes","30","Mayo"
"283","MayoLab-R200-DO","40","Mayo"
"284","MayoLab-Y016-A3","18","Mayo"
"285","MayoLab-Y017-A1","18","Mayo"
"286","MayoLab-Y018-A2","18","Mayo"
"287","MayoMR-P106-Board","30","Mayo"
"288","MayoNLab-P011-Anat","40","Mayo"
"289","MayoNLab-P102-Taffe","48","Mayo"
"290","MayoNLab-P104-student room","8","Mayo"
"291","MayoNLab-P105-living","28","Mayo"
"292","MayoNLab-P204-VHen","20","Mayo"
"293","MayoNLab-Y011-N/Gale","48","Mayo"
"294","Mayo-Pool","1000","Mayo"
"295","MayoSR-B003-MB","45","Mayo"
"296","MayoSR-B027","17","Mayo"
"297","MayoSR-B030","40","Mayo"
"298","MayoSR-B120-(sr12)","30","Mayo"
"299","MayoSR-B121","60","Mayo"
"300","MayoSR-B122- Lang","15","Mayo"
"301","MayoSR-G104-(sr8)","60","Mayo"
"302","MayoSR-P002-Clear","120","Mayo"
"303","MayoSR-P004-Horan","32","Mayo"
"304","MayoSR-P005-Healy","29","Mayo"
"305","MayoSR-P009-McManus","30","Mayo"
"306","MayoSR-P110-Pinel","48","Mayo"
"307","MayoSR-P114-OCar","60","Mayo"
"308","MayoSR-P201-Erris","20","Mayo"
"309","MayoSR-R104-Davitt","80","Mayo"
"310","MayoSR-Y002-(sr1)","35","Mayo"
"311","MayoSR-Y007-(sr14)","18","Mayo"
"312","MayoSR-Y104-(sr16)","30","Mayo"
"313","MayoSR-Y106-(sr15)","18","Mayo"
"314","MayoSR-Y108-Browne","80","Mayo"
"315","MayoSt Marys Hall","25","Mayo"
"316","NUIG","20","NUIG"
"317","NUIG","20","NUIG"
